zì jǐ dǎ de	自己打的
tàng shóu hòu	燙熟後
tàng shóu le	燙熟了
tè yǎn shóu	特眼熟
tǐng chéng shóu	挺成熟
tuō shóu rén	托熟人
wǎn shóu de	晚熟的
wán shóu le	玩熟了
wǎn shóu qī	晚熟期
wèi bù shóu	餵不熟
wèi chéng shóu	未成熟
wèi shóu de	未熟的
wèi shóu tòu	未熟透
wèi zhǔ shóu	未煮熟
wǒ bù shóu	我不熟
wǒ chéng shóu	我成熟
wǒ dōu shóu	我都熟
wǒ hěn shóu	我很熟
wǒ men shóu	我們熟
wǒ shóu de	我熟得
wǒ shóu de	我熟的
wǒ shóu liàn	我熟練
wǒ shóu shí	我熟識
wǒ shóu shuì	我熟睡
wǒ shóu xī	我熟悉
wǒ shóu zhī	我熟知
wǒ shuì shóu	我睡熟
wǒ xiāng shóu	我相熟
wǒ yǎn shóu	我眼熟
wǒ zǎo shóu	我早熟
wǔ chéng shóu	五成熟
wǔ fēn shóu	五分熟
xiǎn chéng shóu	顯成熟
xián shóu dì	嫻熟地
xián shóu le	嫻熟了
xiān shóu xī	先熟悉
xiāng shóu le	相熟了
xiǎo chéng shóu	小成熟
xìng chéng shóu	性成熟
xìng zǎo shóu	性早熟
yǎn shóu a	眼熟啊
yǎn shóu ba	眼熟吧
yǎn shóu le	眼熟了
yǎn shóu ma	眼熟嗎
yǎng bù shóu	養不熟
yě bù shóu	也不熟
yě shóu le	也熟了
yě shóu xī	也熟悉
tàng shóu	燙熟
yǐ chéng shóu	已成熟
yì guō shóu	一鍋熟
yì shóu guǒ	異熟果
yì shóu shí	異熟識
yòng shóu le	用熟了
yòu bù shóu	又不熟
yǒu shóu rén	有熟人
yuán méi shóu	園梅熟
zài cháng shóu	在常熟
zài chéng shóu	在成熟
zài chéng shóu	再成熟
zài shóu le	再熟了
zài shóu xī	再熟悉
zǎo chéng shóu	早成熟
zǎo shóu ba	早熟吧
zǎo shóu de	早熟的
zǎo shóu hé	早熟禾
zǎo shóu lí	早熟梨
zǎo shóu xìng	早熟性
zhè me shóu	這麼熟
zhēn bù shóu	真不熟
zhēng bù shóu	蒸不熟
zhēng shóu de	蒸熟的
zhēng shóu hòu	蒸熟後
zhēng shóu le	蒸熟了
zhōng wǎn shóu	中晚熟
zhōng zǎo shóu	中早熟
zhǔ bù shóu	煮不熟
zhǔ shóu hòu	煮熟後
zhǔ shóu le	煮熟了
zhǔ shóu shí	煮熟時
zhuāng chéng shóu	裝成熟
zì lái shóu	自來熟
zì rán shóu	自然熟
zuì chéng shóu	最成熟
zuì shóu de	最熟的
zuì shóu xī	最熟悉
zuò shóu le	做熟了
ài shéi	愛誰
bǎ shéi	把誰
bāng shéi	幫誰
bèi shéi	被誰
bǐ shéi	比誰
chī shéi	吃誰
dǎ shéi	打誰
dài shéi	帶誰
dào shéi	到誰
děng shéi	等誰
duì shéi	對誰
fàng shéi	放誰
fú shéi	服誰
gāi shéi	該誰
gěi shéi	給誰
gēn shéi	跟誰
guài shéi	怪誰
guī shéi	歸誰
hé shéi	和誰
hèn shéi	恨誰
huàn shéi	換誰
jiàn shéi	見誰
jiào shéi	叫誰
kàn shéi	看誰
kào shéi	靠誰
kě shéi	可誰
kēng shéi	坑誰
lài shéi	賴誰
mà shéi	罵誰
méi shéi	沒誰
méng shéi	蒙誰
nà shéi	那誰
pà shéi	怕誰
péi shéi	陪誰
qǔ shéi	娶誰
ràng shéi	讓誰
rě shéi	惹誰
rèn shéi	任誰
shì shéi	是誰
shéi a	誰啊
shéi bǎ	誰把
shéi bù	誰不
shéi céng	誰曾
shéi chī	誰吃
shéi chū	誰出
shéi cuò	誰錯
shéi dài	誰帶
shéi dāng	誰當
shéi de	誰的
shéi děng	誰等
shéi dìng	誰定
shéi dǒng	誰懂
shéi dōu	誰都
shéi duì	誰對
shéi fù	誰負
shéi gǎi	誰改
shéi gǎn	誰敢
shéi gàn	誰幹
shéi gāo	誰高
shéi gěi	誰給
shéi gēn	誰跟
shéi guǎn	誰管
shéi hái	誰還
shéi hǎn	誰喊
shéi hǎo	誰好
shéi huài	誰壞
shéi huì	誰會
shéi jiā	誰家
shéi jiāng	誰將
shéi jiào	誰叫
shéi jiào	誰教
shéi jiē	誰接
shéi jiù	誰就
shéi kāi	誰開
shéi kàn	誰看
shéi kěn	誰肯
shéi kuài	誰快
shéi lái	誰來
shéi liào	誰料
shéi mǎi	誰買
shéi mài	誰賣
shéi ná	誰拿
shéi ne	誰呢
shéi néng	誰能
shéi ó	誰哦
shéi pà	誰怕
shéi qù	誰去
shéi ràng	誰讓
shéi rén	誰人
shéi shǎ	誰傻
shéi shàng	誰上
shéi shì	誰是
shéi shū	誰輸
shéi shéi	誰誰
shéi shuō	誰說
shéi sòng	誰送
shéi wán	誰玩
shéi wèn	誰問
shéi wú	誰無
shéi xiān	誰先
shéi xiǎng	誰想
shéi xìn	誰信
shéi xuǎn	誰選
shéi ya	誰呀
shéi yǎn	誰演
shéi yǎng	誰養
shéi yào	誰要
shéi yě	誰也
shéi yíng	誰贏
shéi yòng	誰用
shéi yǒu	誰有
shéi yòu	誰又
shéi yǔ	誰與
shéi zài	誰在
shéi zài	誰再
shéi zhēn	誰真
shéi zhī	誰知
shéi zuì	誰最
shéi zuò	誰做
shuō shéi	說誰
sòng shéi	送誰
tiāo shéi	挑誰
tīng shéi	聽誰
wéi shéi	為誰
wèn shéi	問誰
xiàng shéi	向誰
xiàng shéi	像誰
xiào shéi	笑誰
xuǎn shéi	選誰
yòng shéi	用誰
yǒu shéi	有誰
yóu shéi	由誰
yǔ shéi	與誰
yuàn shéi	怨誰
zhǎo shéi	找誰
zhāo shéi	招誰
zhè shéi	這誰
zhǐ shéi	指誰
zhuī shéi	追誰
a yǒu shéi	啊有誰
ài guò shéi	愛過誰
ài kàn shéi	愛看誰
ài shàng shéi	愛上誰
ài shéi a	愛誰啊
ài shéi shéi	愛誰誰
ài zhe shéi	愛着誰
bǎ shéi shéi	把誰誰
bāng zhù shéi	幫助誰
bǐ shéi chà	比誰差
bǐ shéi dōu	比誰都
bú dào shéi	不到誰
bù guǎn shéi	不管誰
bú guò shéi	不過誰
bù néng shéi	不能誰
bú shì shéi	不是誰
bù wéi shéi	不為誰
bù zhī shéi	不知誰
bù zhǔn shéi	不准誰
cāi cāi shéi	猜猜誰
chuán gěi shéi	傳給誰
dǎ gěi shéi	打給誰
dài biǎo shéi	代表誰
dàn shéi yě	但誰也
dào dǐ shéi	到底誰
dào shéi le	到誰了
diē shì shéi	爹是誰
dōu shì shéi	都是誰
dōu shéi a	都誰啊
dōu yǒu shéi	都有誰
duì shéi dōu	對誰都
duì shéi shuō	對誰說
fā gěi shéi	發給誰
fàng dào shéi	放到誰
fēn gěi shéi	分給誰
fēn gēn shéi	分跟誰
fú chí shéi	扶持誰
fù gěi shéi	付給誰
gāi gěi shéi	該給誰
gāi guài shéi	該怪誰
gāi guī shéi	該歸誰
gāi shì shéi	該是誰
gāi shéi chū	該誰出
gāi xìn shéi	該信誰
gāi xuǎn shéi	該選誰
gāi yóu shéi	該由誰
gāi zhǎo shéi	該找誰
gàn diào shéi	幹掉誰
gào sù shéi	告訴誰
gěi shéi a	給誰啊
gěi shéi le	給誰了
gěi shéi mǎi	給誰買
gěi shéi shuō	給誰說
gēn shéi a	跟誰啊
gēn shéi dǎ	跟誰打
gēn shéi dōu	跟誰都
gēn shéi guò	跟誰過
gēn shéi jí	跟誰急
gēn shéi qù	跟誰去
gēn shéi shuì	跟誰睡
gēn shéi tán	跟誰談
gēn shéi wán	跟誰玩
gēn shéi xìng	跟誰姓
gēn shéi yě	跟誰也
gēn shéi zǒu	跟誰走
gēn zhe shéi	跟着誰
gèng xiàng shéi	更像誰
gōu yǐn shéi	勾引誰
guān yú shéi	關於誰
guī shéi guǎn	歸誰管
hái shì shéi	還是誰
hái yǒu shéi	還有誰
hé nà shéi	和那誰
hé shéi a	和誰啊
hé shéi jiā	和誰家
hé shéi le	和誰了
hé shéi qù	和誰去
hé shéi shuō	和誰說
huái yí shéi	懷疑誰
huán gěi shéi	還給誰
huì shì shéi	會是誰
huì xuǎn shéi	會選誰
huì yǒu shéi	會有誰
jǐ gè shéi	幾個誰
jì gěi shéi	寄給誰
jià gěi shéi	嫁給誰
jiàn dào shéi	見到誰
jiàn guò shéi	見過誰
jiàn le shéi	見了誰
jiāo gěi shéi	交給誰
jiè shì shéi	介是誰
jiū jìng shéi	究竟誰
jiù kàn shéi	就看誰
jiù shì shéi	就是誰
kàn dào shéi	看到誰
kàn hǎo shéi	看好誰
kàn jiàn shéi	看見誰
kàn kàn shéi	看看誰
kàn shàng shéi	看上誰
kàn shì shéi	看是誰
kàn shéi kuài	看誰快
kě shéi céng	可誰曾
kě shéi xiǎng	可誰想
kě shéi yǒu	可誰有
kě shéi zhī	可誰知
kēng shéi ne	坑誰呢
lí kāi shéi	離開誰
lián xì shéi	聯繫誰
liú gěi shéi	留給誰
lún dào shéi	輪到誰
luò shéi jiā	落誰家
mǎi de shéi	買的誰
méi shéi le	沒誰了
méi yǒu shéi	沒有誰
mó fǎng shéi	模仿誰
nà gè shéi	那個誰
nà shì shéi	那是誰
nà shéi shéi	那誰誰
nèi xiǎo shéi	內小誰
néng guài shéi	能怪誰
néng yǒu shéi	能有誰
nǐ ài shéi	你愛誰
nǐ gēn shéi	你跟誰
nǐ hé shéi	你和誰
nǐ jiù shéi	你救誰
nǐ kàn shéi	你看誰
nǐ liǎ shéi	你倆誰
nǐ mà shéi	你罵誰
nǐ shì shéi	你是誰
nǐ shéi a	你誰啊
nǐ shéi lái	你誰來
nǐ shéi ya	你誰呀
nǐ shéi yě	你誰也
nǐ shuō shéi	你說誰
nǐ tīng shéi	你聽誰
nǐ wèn shéi	你問誰
nǐ xuǎn shéi	你選誰
nǐ zhàn shéi	你站誰
nǐ zhǎo shéi	你找誰
nín shì shéi	您是誰
nòng sǐ shéi	弄死誰
pà guò shéi	怕過誰
piàn shéi ne	騙誰呢
piān xiàng shéi	偏向誰
píng shéi wèn	憑誰問
qī fù shéi	欺負誰
qì sǐ shéi	氣死誰
qǔ dài shéi	取代誰
qù shéi jiā	去誰家
ráo guò shéi	饒過誰
rě le shéi	惹了誰
rě shéi le	惹誰了
rén shì shéi	人是誰
rèn shi shéi	認識誰
rèn shéi dōu	任誰都
rèn shéi kàn	任誰看
rén wèn shéi	人問誰
shā le shéi	殺了誰
shì gè shéi	是個誰
shì hé shéi	適合誰
shì shéi a	是誰啊
shì shéi ba	是誰吧
shì shéi de	是誰的
shì shéi jiā	是誰家
shì shéi jiào	是誰教
shì shéi lái	是誰來
shì shéi le	是誰了
shì shéi ma	是誰嗎
shì shéi ne	是誰呢
shì shéi ràng	是誰讓
shì shéi rén	是誰人
shì shéi tōu	是誰偷
shì shéi xiān	是誰先
shì shéi ya	是誰呀
shì shéi yě	是誰也
shì shéi zài	是誰在
shǔ yú shéi	屬於誰
shéi ài nǐ	誰愛你
shéi ài shéi	誰愛誰
shéi ài wǒ	誰愛我
shéi bǎ nǐ	誰把你
shéi bà qì	誰霸氣
shéi bàn wǒ	誰伴我
shéi bāng nǐ	誰幫你
shéi bāng shéi	誰幫誰
shéi bāng wǒ	誰幫我
shéi bǎo hù	誰保護
shéi bèi guō	誰背鍋
shéi bǐ hé	誰比和
shéi bǐ jiào	誰比較
shéi bú ài	誰不愛
shéi bù céng	誰不曾
shéi bù dǒng	誰不懂
shéi bú duì	誰不對
shéi bù fú	誰不服
shéi bù hǎo	誰不好
shéi bú huì	誰不會
shéi bù lái	誰不來
shéi bú pà	誰不怕
shéi bú qù	誰不去
shéi bú shì	誰不是
shéi bù shuō	誰不說
shéi bù xiǎng	誰不想
shéi bú xìn	誰不信
shéi bù xíng	誰不行
shéi bú yào	誰不要
shéi bú yuàn	誰不願
shéi bú zài	誰不在
shéi bù zhī	誰不知
shéi cái shì	誰才是
shéi céng jiàn	誰曾見
shéi céng xiǎng	誰曾想
shéi chàng de	誰唱的
shéi chàng gē	誰唱歌
shéi chéng dān	誰承擔
shéi chéng xiǎng	誰承想
shéi chī kuī	誰吃虧
shéi chī shéi	誰吃誰
shéi chū de	誰出的
shéi chū guǐ	誰出軌
shéi chū lái	誰出來
shéi chū qián	誰出錢
shéi chū qù	誰出去
shéi chū zī	誰出資
shéi cōng míng	誰聰明
shéi cuò le	誰錯了
shéi dǎ de	誰打的
shéi dǎ nǐ	誰打你
shéi dǎ shéi	誰打誰
shéi dǎ wǒ	誰打我
shéi dài lái	誰帶來
shéi dài nǐ	誰帶你
shéi dài wǒ	誰帶我
shéi dài zǒu	誰帶走
shéi dān zé	誰擔責
shéi dāng jiā	誰當家
shéi dào le	誰到了
shéi dǎo méi	誰倒霉
shéi de a	誰的啊
shéi de ài	誰的愛
shéi de chē	誰的車
shéi de cuò	誰的錯
shéi de dà	誰的大
shéi de gē	誰的歌
shéi de guāng	誰的光
shéi de guō	誰的鍋
shéi de hào	誰的號
shéi de huà	誰的話
shéi de jiā	誰的家
shéi de jiǎo	誰的腳
shéi de le	誰的了
shéi de liǎn	誰的臉
shéi de mèng	誰的夢
shéi de qián	誰的錢
shéi de qún	誰的群
shéi de rén	誰的人
shéi de shì	誰的事
shéi de shǒu	誰的手
shéi de shéi	誰的誰
shéi de xīn	誰的心
shéi de ya	誰的呀
shéi de yǎn	誰的眼
shéi dì yī	誰第一
shéi diào de	誰掉的
shéi dìng de	誰訂的
shéi dǒng a	誰懂啊
shéi dǒng de	誰懂得
shéi dòng le	誰動了
shéi dǒng wǒ	誰懂我
shéi dōu ài	誰都愛
shéi dōu bù	誰都不
shéi dōu dǒng	誰都懂
shéi dōu huì	誰都會
shéi dōu néng	誰都能
shéi dōu pà	誰都怕
shéi dōu qù	誰都去
shéi dōu shì	誰都是
shéi dōu xiǎng	誰都想
shéi dōu xíng	誰都行
shéi dōu yǒu	誰都有
shéi dōu zài	誰都在
shéi duì shéi	誰對誰
shéi ér zi	誰兒子
shéi fā de	誰發的
shéi fā míng	誰發明
shéi fā xiàn	誰發現
shéi fàng zài	誰放在
shéi fù fèi	誰付費
shéi fù qián	誰付錢
shéi fú wù	誰服務
shéi fù zé	誰負責
shéi gǎi de	誰改的
shéi gǎn bǎ	誰敢把
shéi gǎn bù	誰敢不
shéi gàn de	誰幹的
shéi gān jìng	誰乾淨
shéi gǎn lán	誰敢攔
shéi gǎn qǔ	誰敢娶
shéi gǎn rě	誰敢惹
shéi gǎn shàng	誰敢上
shéi gào sù	誰告訴
shéi gāo xìng	誰高興
shéi gěi le	誰給了
shéi gěi nǐ	誰給你
shéi gěi shéi	誰給誰
shéi gěi shuō	誰給說
shéi gěi wǒ	誰給我
shéi gěi zán	誰給咱
shéi gēn nǐ	誰跟你
shéi gēn shéi	誰跟誰
shéi gēn tā	誰跟他
shéi gēn wǒ	誰跟我
shéi gèng	誰更
shéi gèng ài	誰更愛
shéi gèng cǎn	誰更慘
shéi gèng dà	誰更大
shéi gèng hǎo	誰更好
shéi gèng hěn	誰更狠
shéi gèng hóng	誰更紅
shéi gèng kuài	誰更快
shéi gèng měi	誰更美
shéi gèng niú	誰更牛
shéi gèng qiáng	誰更強
shéi gèng shuài	誰更帥
shéi gèng xiàng	誰更像
shéi gōng kāi	誰公開
shéi gòng wǒ	誰共我
shéi guǎn lǐ	誰管理
shéi guǎn nǐ	誰管你
shéi guǎn qián	誰管錢
shéi guǎn tā	誰管他
shéi guī dìng	誰規定
shéi guò lái	誰過來
shéi hái gǎn	誰還敢
shéi hái guǎn	誰還管
shéi hái huì	誰還會
shéi hái méi	誰還沒
shéi hái néng	誰還能
shéi hài pà	誰害怕
shéi hái qù	誰還去
shéi hái yào	誰還要
shéi hái yòng	誰還用
shéi hái yǒu	誰還有
shéi hái zài	誰還在
shéi hǎo kàn	誰好看
shéi hǎo xiàng	誰好像
shéi hé nǐ	誰和你
shéi hé wǒ	誰和我
shéi huà de	誰畫的
shéi huā qián	誰花錢
shéi huì de	誰會得
shéi huì gēn	誰會跟
shéi huì lái	誰會來
shéi huí lái	誰回來
shéi huì mǎi	誰會買
shéi huì qù	誰會去
shéi huì xiǎng	誰會想
shéi huì xìn	誰會信
shéi jì de	誰記得
shéi jiā lǐ	誰家裏
shéi jiā qù	誰家去
shéi jiā yǒu	誰家有
shéi jiā zuò	誰家做
shéi jiàn de	誰建的
shéi jiān guǎn	誰監管
shéi jiàn guò	誰見過
shéi jiàn le	誰見了
shéi jiǎng de	誰講的
shéi jiào de	誰教的
shéi jiào nǐ	誰叫你
shéi jiào nǐ	誰教你
shéi jiào tā	誰叫他
shéi jiào tā	誰教他
shéi jiào wǒ	誰叫我
shéi jiào wǒ	誰教我
shéi jiē de	誰接的
shéi jié hūn	誰結婚
shéi jiè wǒ	誰借我
shéi jìn de	誰進的
shéi jiù néng	誰就能
shéi jiù shì	誰就是
shéi jǔ bào	誰舉報
shéi jǔ zhèng	誰舉證
shéi kāi chē	誰開車
shéi kāi de	誰開的
shéi kāi fā	誰開發
shéi kàn dào	誰看到
shéi kàn de	誰看的
shéi kàn guò	誰看過
shéi kàn le	誰看了
shéi kàn nǐ	誰看你
shéi kàn shéi	誰看誰
shéi kě bǐ	誰可比
shéi kě yǐ	誰可以
shéi kēng shéi	誰坑誰
shéi lái bāng	誰來幫
shéi lái chū	誰來出
shéi lái dǎ	誰來打
shéi lái dài	誰來帶
shéi lái de	誰來的
shéi lái fú	誰來扶
shéi lái gàn	誰來幹
shéi lái guǎn	誰來管
shéi lái jiǎng	誰來講
shéi lái jiào	誰來教
shéi lái jiē	誰來接
shéi lái kàn	誰來看
shéi lái le	誰來了
shéi lái mǎi	誰來買
shéi lái péi	誰來賠
shéi lái péi	誰來陪
shéi lái shōu	誰來收
shéi lái wèn	誰來問
shéi lái yǎn	誰來演
shéi lái yǎng	誰來養
shéi lái zhǎo	誰來找
shéi lái zhe	誰來着
shéi lái zuò	誰來做
shéi le me	誰了麼
shéi le ne	誰了呢
shéi lè yì	誰樂意
shéi lì hài	誰厲害
shéi lǐ nǐ	誰理你
shéi liǎo jiě	誰了解
shéi mà shéi	誰罵誰
shéi mǎi dān	誰買單
shéi mǎi de	誰買的
shéi mǎi le	誰買了
shéi méi diǎn	誰沒點
shéi méi shì	誰沒事
shéi měi tiān	誰每天
shéi méi yǒu	誰沒有
shéi míng bái	誰明白
shéi ná de	誰拿的
shéi nǎ gè	誰哪個
shéi ná le	誰拿了
shéi néng bǎ	誰能把
shéi néng bǎo	誰能保
shéi néng bǐ	誰能比
shéi néng chī	誰能吃
shéi néng dài	誰能帶
shéi néng dí	誰能敵
shéi néng dǒng	誰能懂
shéi néng gàn	誰能幹
shéi néng gěi	誰能給
shéi néng guǎn	誰能管
shéi néng jí	誰能及
shéi néng jì	誰能記
shéi néng jiē	誰能接
shéi néng shuō	誰能說
shéi néng xiàng	誰能向
shéi néng zhī	誰能知
shéi néng zuò	誰能做
shéi ní mǎ	誰尼瑪
shéi pà shéi	誰怕誰
shéi pāi de	誰拍的
shéi pái de	誰排的
shéi péi nǐ	誰陪你
shéi péi wǒ	誰陪我
shéi pī zhǔn	誰批准
shéi piào liang	誰漂亮
shéi pò huài	誰破壞
shéi qī fù	誰欺負
shéi qiàn shéi	誰欠誰
shéi qiān zì	誰簽字
shéi qīng chǔ	誰清楚
shéi qǐng kè	誰請客
shéi qù jiē	誰去接
shéi qù ne	誰去呢
shéi qǔ shéi	誰娶誰
shéi qù zuò	誰去做
shéi ràng nǐ	誰讓你
shéi ràng nín	誰讓您
shéi ràng shéi	誰讓誰
shéi ràng tā	誰讓他
shéi ràng tā	誰讓她
shéi ràng wǒ	誰讓我
shéi rén néng	誰人能
shéi rèn shi	誰認識
shéi rén shí	誰人識
shéi rén zhī	誰人知
shéi rēng de	誰扔的
shéi shā shéi	誰殺誰
shéi shàng bān	誰上班
shéi shěn hé	誰審核
shéi shēng bìng	誰生病
shéi shēng rì	誰生日
shéi shì diē	誰是爹
shéi shì gǒu	誰是狗
shéi shì shéi	誰是誰
shéi shì wǒ	誰是我
shéi shǐ yòng	誰使用
shéi shì zhǔ	誰是主
shéi shì zhū	誰是豬
shéi shōu cáng	誰收藏
shéi shǒu jī	誰手機
shéi shòu yì	誰受益
shéi shū le	誰輸了
shéi shéi shì	誰誰是
shéi shéi shéi	誰誰誰
shéi shuō dào	誰說到
shéi shuō de	誰說的
shéi shuō guò	誰說過
shéi shuō huà	誰說話
shéi shuō huǎng	誰說謊
shéi shuō lái	誰說來
shéi shuō nǐ	誰說你
shéi shuō nǚ	誰說女
shéi shuō wǒ	誰說我
shéi sòng de	誰送的
shéi sòng wǒ	誰送我
shéi tā mā	誰他媽
shéi tāo qián	誰掏錢
shéi tí de	誰提的
shéi tí gōng	誰提供
shéi tīng shéi	誰聽誰
shéi tóng yì	誰同意
shéi tǒng yī	誰統一
shéi tóu zī	誰投資
shéi wán guò	誰玩過
shéi wán shéi	誰玩誰
shéi wéi nǐ	誰為你
shéi wéi shéi	誰為誰
shéi wèi wǒ	誰為我
shéi wéi xiū	誰維修
shéi wéi zhǔ	誰為主
shéi wèn de	誰問的
shéi wū rǎn	誰污染
shéi wǔ rǔ	誰侮辱
shéi xī hǎn	誰稀罕
shéi xǐ huān	誰喜歡
shéi xǐ wǎn	誰洗碗
shéi xiān dào	誰先到
shéi xiān lái	誰先來
shéi xiān shàng	誰先上
shéi xiān shuō	誰先說
shéi xiān sǐ	誰先死
shéi xiān zǒu	誰先走
shéi xiāng bàn	誰相伴
shéi xiǎng dào	誰想到
shéi xiǎng de	誰想的
shéi xiǎng gàn	誰想幹
shéi xiǎng kàn	誰想看
shéi xiǎng mǎi	誰想買
shéi xiàng nǐ	誰像你
shéi xiǎng qù	誰想去
shéi xiàng shéi	誰像誰
shéi xiāng xìn	誰相信
shéi xiǎng yào	誰想要
shéi xiǎo de	誰曉得
shéi xiě de	誰寫的
shéi xìn a	誰信啊
shéi xìn dào	誰信道
shéi xìn nà	誰信吶
shéi xìn ne	誰信呢
shéi xìn ya	誰信呀
shéi xū yào	誰需要
shéi xué dé	誰學得
shéi ya wǒ	誰呀我
shéi yǎn de	誰演的
shéi yào de	誰要的
shéi yào hé	誰要和
shéi yào kàn	誰要看
shéi yào lái	誰要來
shéi yào mǎi	誰要買
shéi yào shì	誰要是
shéi yě bù	誰也不
shéi yě huì	誰也會
shéi yě méi	誰也沒
shéi yě néng	誰也能
shéi yě shì	誰也是
shéi yě xiǎng	誰也想
shéi yě yǒu	誰也有
shéi yí gè	誰一個
shéi yì qǐ	誰一起
shéi yì tiān	誰一天
shéi yíng le	誰贏了
shéi yǐng xiǎng	誰影響
shéi yòng guò	誰用過
shéi yōng yǒu	誰擁有
shéi yǒu bìng	誰有病
shéi yǒu fā	誰有髮
shéi yǒu kòng	誰有空
shéi yǒu lǐ	誰有理
shéi yòu néng	誰又能
shéi yǒu qián	誰有錢
shéi yǔ gòng	誰與共
shéi yǔ shéi	誰與誰
shéi yuàn yì	誰願意
shéi yǔn xǔ	誰允許
shéi zài gǎn	誰再敢
shéi zài jiā	誰在家
shéi zài jiào	誰在叫
shéi zài kàn	誰在看
shéi zài mǎi	誰在買
shéi zài mài	誰在賣
shéi zài nà	誰在那
shéi zài shuō	誰在說
shéi zài wán	誰在玩
shéi zài xiàn	誰在線
shéi zài yì	誰在意
shéi zài yòng	誰在用
shéi zhào gù	誰照顧
shéi zhǎo nǐ	誰找你
shéi zhèng qián	誰掙錢
shéi zhí bān	誰值班
shéi zhī cǐ	誰知此
shéi zhī dào	誰知道
shéi zhí de	誰值得
shéi zhì dìng	誰制定
shéi zhí fǎ	誰執法
shéi zhī guò	誰之過
shéi zhī guò	誰知過
shéi zhì lǐ	誰治理
shéi zhī shì	誰知是
shéi zhī wǒ	誰知我
shéi zhī yǒu	誰知有
shéi zhī zé	誰之責
shéi zhòng yào	誰重要
shéi zhǔ dǎo	誰主導
shéi zhǔ dòng	誰主動
shéi zhǔ guǎn	誰主管
shéi zhǔ zhāng	誰主張
shéi zhuī shéi	誰追誰
shéi zǒu le	誰走了
shéi zǔ duì	誰組隊
shéi zǔ zhī	誰組織
shéi zuì cǎn	誰最慘
shéi zuì chǒu	誰最醜
shéi zuì dà	誰最大
shéi zuì gāo	誰最高
shéi zuì hǎo	誰最好
shéi zuì hóng	誰最紅
shéi zuì kuài	誰最快
shéi zuì měi	誰最美
shéi zuì néng	誰最能
shéi zuì niú	誰最牛
shéi zuì qiáng	誰最強
shéi zuì shuài	誰最帥
shéi zuò de	誰做的
shéi zuò fàn	誰做飯
shéi zuò zhǔ	誰做主
shuō de shéi	說的誰
shuō shéi de	說誰的
shuō shéi le	說誰了
shuō shéi ne	說誰呢
sī niàn shéi	思念誰
sòng gěi shéi	送給誰
suàn shéi de	算誰的
suǒ yǐ shéi	所以誰
tā shì shéi	他是誰
tā shì shéi	她是誰
táo tài shéi	淘汰誰
tǎo yàn shéi	討厭誰
tīng shéi de	聽誰的
tīng shéi shuō	聽誰說
tóu gěi shéi	投給誰
tóu kào shéi	投靠誰
wàng jì shéi	忘記誰
wàng le shéi	忘了誰
wèi le shéi	為了誰
wéi shéi kāi	為誰開
wéi shéi liú	為誰留
wéi shéi luò	為誰落
wéi shéi máng	為誰忙
wéi shéi qù	為誰去
wèn shì shéi	問是誰
wèn shéi lái	問誰來
wèn shéi néng	問誰能
wèn shéi shì	問誰是
wèn shéi zài	問誰在
wèn yǒu shéi	問有誰
wǒ ài shéi	我愛誰
wǒ hé shéi	我和誰
wǒ mà shéi	我罵誰
wǒ pà shéi	我怕誰
wǒ shì shéi	我是誰
wǒ wèn shéi	我問誰
wǒ xiàng shéi	我像誰
wú lùn shéi	無論誰
xǐ huān shéi	喜歡誰
xià hu shéi	嚇唬誰
xiān jiù shéi	先救誰
xiǎng qǐ shéi	想起誰
xiàng shì shéi	像是誰
xiǎng shéi de	想誰的
xiǎng shéi ne	想誰呢
xiàng shéi shuō	向誰說
xiàng shéi sù	向誰訴
xiāng xìn shéi	相信誰
xiǎng yào shéi	想要誰
xiǎng zhe shéi	想着誰
xiě gěi shéi	寫給誰
xū yào shéi	需要誰
xuǎn zé shéi	選擇誰
yě méi shéi	也沒誰
yī kào shéi	依靠誰
yī lài shéi	依賴誰
yīn wèi shéi	因為誰
yòng shéi de	用誰的
yòu bèi shéi	又被誰
yòu shì shéi	又是誰
yǒu shéi bǎ	有誰把
yǒu shéi jiā	有誰家
yǒu shéi kàn	有誰看
yóu shéi lái	由誰來
yǒu shéi lái	有誰來
yǒu shéi lián	有誰憐
yōu shéi liè	優誰劣
yǒu shéi ne	有誰呢
yǒu shéi néng	有誰能
yòu shéi néng	又誰能
yǒu shéi shì	有誰是
yǒu shéi wèn	有誰問
yǒu shéi yě	有誰也
yǒu shéi zhī	有誰知
yòu shéi zhī	又誰知
yòu yǒu shéi	又有誰
yù dào shéi	遇到誰
yù jiàn shéi	遇見誰
yǔ shéi gòng	與誰共
yǔ shéi tóng	與誰同
zài děng shéi	在等誰
zài hé shéi	在和誰
zài hū shéi	在乎誰
zài shéi jiā	在誰家
zěn me shéi	怎麼誰
zhào gù shéi	照顧誰
zhǎo shéi a	找誰啊
zhǎo shéi bāng	找誰幫
zhāo shéi le	招誰了
zhǎo shéi ya	找誰呀
zhǎo shéi zuò	找誰做
zhè shì shéi	這是誰
zhè shéi a	這誰啊
zhè shéi ya	這誰呀
zhēn duì shéi	針對誰
zhī chí shéi	支持誰
zhī dào shéi	知道誰
zhǐ wàng shéi	指望誰
zhǐ yǒu shéi	只有誰
zhuǎn gěi shéi	轉給誰
zī liào shéi	資料誰
zuì hòu shéi	最後誰
ài shéi shéi ba	愛誰誰吧
àn liàn guò shéi	暗戀過誰
