ān tú	安图
bǎi lóng zhèn	柏隆镇
bái lóu xiāng	白楼乡
bǎi lóu zhèn	百楼镇
bái lóu zhèn	白楼镇
bái lù cūn	白鹿村
bái lù cūn	白鹭村
bái lù xiāng	白鹭乡
bǎi lù xiāng	柏露乡
bái lù xiāng	白路乡
bái lù xiāng	白碌乡
bái lù zhèn	白鹿镇
bǎi lù zhèn	百禄镇
bái lù zhèn	白路镇
bái luó zhèn	白螺镇
bái mǎ cūn	白马村
bái mǎ xiāng	白马乡
bǎi mǎ xiāng	百马乡
bái mǎ zhèn	白马镇
bái mǎ zhèn	白玛镇
bái mǎ zhuāng	白马庄
bái mào zhèn	白帽镇
bái máo zhèn	白茆镇
bái méi xiāng	白梅乡
bái mǐ zhèn	白米镇
bái miào cūn	白庙村
bái miào xiāng	白庙乡
bái miào zhèn	白庙镇
bái mǔ xiāng	白姆乡
bǎi mù xiāng	柏木乡
bǎi nán xiāng	百南乡
bái ní cūn	白泥村
bái ní xiāng	白坭乡
bái ní zhèn	白坭镇
bái ní zhèn	白霓镇
bái ní zhèn	白泥镇
bái niú cūn	白牛村
bái niú zhèn	白牛镇
bǎi péng zhèn	百朋镇
bái píng xiāng	白坪乡
bái pú zhèn	白蒲镇
bǎi pǔ zhèn	柏埔镇
bái qí xiāng	白旗乡
bái qí zhèn	白旗镇
bǎi qiáng xiàn	百强县
bái qiáo cūn	白桥村
bái qiáo zhèn	白桥镇
bái qīng xiāng	白青乡
bái quán cūn	白泉村
bài quán xiàn	拜泉县
bái quán zhèn	白泉镇
bài quán zhèn	拜泉镇
bǎi quán zhèn	百泉镇
bái sāng zhèn	白桑镇
bǎi sè xiàn	百色县
bái shā cūn	白沙村
bái shā xiàn	白沙县
bái shā xiāng	白沙乡
bái shā zhèn	白沙镇
bái shā zhèn	白砂镇
bái shān cūn	白山村
bái shān xiāng	白山乡
bái shān zhèn	白山镇
bǎi shàn zhèn	百善镇
bǎi shè xiāng	柏社乡
bái shě zhèn	白舍镇
bǎi shěng xiāng	百省乡
bǎi shèng zhèn	百胜镇
bái shí cūn	白石村
bái shí xiāng	白石乡
bái shí xiāng	白什乡
bái shí zhèn	白石镇
bái shì zhèn	白市镇
bǎi shòu zhèn	百寿镇
bǎi shù xiāng	柏树乡
bǎi shù zhèn	柏树镇
bái shuǐ cūn	白水村
bái shuǐ xiàn	白水县
bái shuǐ xiāng	白水乡
bái shuǐ zhèn	白水镇
bǎi shùn zhèn	百顺镇
